| Package                              | Version | License Information Origin | License Expression                                          | License Url                                                 | Copyright                                                               | Authors                                                                               | Package Project Url                                                               |
| ------------------------------------ | ------- | -------------------------- | ----------------------------------------------------------- | ----------------------------------------------------------- | ----------------------------------------------------------------------- | ------------------------------------------------------------------------------------- | --------------------------------------------------------------------------------- |
| CommunityToolkit.Mvvm                | 8.4.2   | Expression                 | MIT                                                         | https://licenses.nuget.org/MIT                              | (c) .NET Foundation and Contributors. All rights reserved.              | Microsoft                                                                             | https://github.com/CommunityToolkit/dotnet                                        |
| EFCore.BulkExtensions                | 10.0.1  | File                       | LICENSE.txt                                                 | https://aka.ms/deprecateLicenseUrl                          |                                                                         | borisdj                                                                               | https://github.com/borisdj/EFCore.BulkExtensions                                  |
| FluentIcons.Wpf                      | 2.1.325 | Expression                 | MIT                                                         | https://licenses.nuget.org/MIT                              |                                                                         | davidxuang                                                                            |                                                                                   |
| MahApps.Metro                        | 2.4.11  | Expression                 | MIT                                                         | https://licenses.nuget.org/MIT                              | Copyright © 2025 .NET Foundation and Contributors. All rights reserved. | Jan Karger, Dennis Daume, Brendan Forster, Paul Jenkins, Jake Ginnivan, Alex Mitchell | https://github.com/MahApps/MahApps.Metro                                          |
| Microsoft-WindowsAPICodePack-Core    | 1.1.5   | Url                        | https://github.com/contre/Windows-API-Code-Pack-1.1/LICENSE | https://github.com/contre/Windows-API-Code-Pack-1.1/LICENSE | Copyright © 2020                                                        | rpastric,contre,dahall                                                                | https://github.com/contre/Windows-API-Code-Pack-1.1                               |
| Microsoft-WindowsAPICodePack-Shell   | 1.1.5   | Url                        | https://github.com/contre/Windows-API-Code-Pack-1.1/LICENSE | https://github.com/contre/Windows-API-Code-Pack-1.1/LICENSE | Copyright © 2020                                                        | rpastric,contre,dahall                                                                | https://github.com/contre/Windows-API-Code-Pack-1.1                               |
| Microsoft.Data.Sqlite                | 10.0.5  | Expression                 | MIT                                                         | https://licenses.nuget.org/MIT                              | © Microsoft Corporation. All rights reserved.                           | Microsoft                                                                             | https://docs.microsoft.com/dotnet/standard/data/sqlite/                           |
| Microsoft.EntityFrameworkCore        | 10.0.7  | Expression                 | MIT                                                         | https://licenses.nuget.org/MIT                              | © Microsoft Corporation. All rights reserved.                           | Microsoft                                                                             | https://docs.microsoft.com/ef/core/                                               |
| Microsoft.EntityFrameworkCore.Design | 10.0.7  | Expression                 | MIT                                                         | https://licenses.nuget.org/MIT                              | © Microsoft Corporation. All rights reserved.                           | Microsoft                                                                             | https://docs.microsoft.com/ef/core/                                               |
| Microsoft.EntityFrameworkCore.Sqlite | 10.0.7  | Expression                 | MIT                                                         | https://licenses.nuget.org/MIT                              | © Microsoft Corporation. All rights reserved.                           | Microsoft                                                                             | https://docs.microsoft.com/ef/core/                                               |
| Microsoft.Extensions.Configuration   | 10.0.6  | Expression                 | MIT                                                         | https://licenses.nuget.org/MIT                              | © Microsoft Corporation. All rights reserved.                           | Microsoft                                                                             | https://dot.net/                                                                  |
| Microsoft.Extensions.Hosting         | 10.0.5  | Expression                 | MIT                                                         | https://licenses.nuget.org/MIT                              | © Microsoft Corporation. All rights reserved.                           | Microsoft                                                                             | https://dot.net/                                                                  |
| Microsoft.Xaml.Behaviors.Wpf         | 1.1.142 | Expression                 | MIT                                                         | https://licenses.nuget.org/MIT                              | © Microsoft Corporation. All rights reserved.                           | Microsoft                                                                             | https://github.com/Microsoft/XamlBehaviorsWpf                                     |
| Serilog                              | 4.3.1   | Expression                 | Apache-2.0                                                  | https://licenses.nuget.org/Apache-2.0                       | Copyright © Serilog Contributors                                        | Serilog Contributors                                                                  | https://serilog.net/                                                              |
| Serilog.Enrichers.Environment        | 3.0.1   | Expression                 | Apache-2.0                                                  | https://licenses.nuget.org/Apache-2.0                       |                                                                         | Serilog Contributors                                                                  | https://github.com/serilog/serilog-enrichers-environment                          |
| Serilog.Enrichers.Thread             | 4.0.0   | Expression                 | Apache-2.0                                                  | https://licenses.nuget.org/Apache-2.0                       |                                                                         | Serilog Contributors                                                                  | http://serilog.net/                                                               |
| Serilog.Extensions.Hosting           | 10.0.0  | Expression                 | Apache-2.0                                                  | https://licenses.nuget.org/Apache-2.0                       |                                                                         | Microsoft,Serilog Contributors                                                        | https://github.com/serilog/serilog-extensions-hosting                             |
| Serilog.Formatting.Compact           | 3.0.0   | Expression                 | Apache-2.0                                                  | https://licenses.nuget.org/Apache-2.0                       |                                                                         | Serilog Contributors                                                                  | https://github.com/serilog/serilog-formatting-compact                             |
| Serilog.Settings.AppSettings         | 3.0.0   | Expression                 | Apache-2.0                                                  | https://licenses.nuget.org/Apache-2.0                       |                                                                         | Serilog Contributors                                                                  | https://github.com/serilog/serilog-settings-appsettings                           |
| Serilog.Settings.Configuration       | 10.0.0  | Expression                 | Apache-2.0                                                  | https://licenses.nuget.org/Apache-2.0                       |                                                                         | Serilog Contributors                                                                  | https://github.com/serilog/serilog-settings-configuration                         |
| Serilog.Sinks.Console                | 6.1.1   | Expression                 | Apache-2.0                                                  | https://licenses.nuget.org/Apache-2.0                       |                                                                         | Serilog Contributors                                                                  | https://github.com/serilog/serilog-sinks-console                                  |
| Serilog.Sinks.File                   | 7.0.0   | Expression                 | Apache-2.0                                                  | https://licenses.nuget.org/Apache-2.0                       |                                                                         | Serilog Contributors                                                                  | https://github.com/serilog/serilog-sinks-file                                     |
| VirtualizingWrapPanel                | 2.5.1   | Expression                 | MIT                                                         | https://licenses.nuget.org/MIT                              | sbaeumlisberger                                                         | sbaeumlisberger                                                                       | https://sbaeumlisberger.github.io/VirtualizingWrapPanel/docs/getting-started.html |
